Gene Name,Transcript Name,GO ID
Phvul.L001612,Phvul.L001612.1,GO:0000724
Phvul.L001612,Phvul.L001612.1,GO:0006281
Phvul.010G034400,Phvul.010G034400.1,GO:0006952
Phvul.010G034400,Phvul.010G034400.1,GO:0016021
Phvul.010G080100,Phvul.010G080100.1,GO:0005975
Phvul.010G087950,Phvul.010G087950.1,
Phvul.010G124000,Phvul.010G124000.1,
Phvul.010G044100,Phvul.010G044100.1,GO:0003735
Phvul.010G044100,Phvul.010G044100.1,GO:0005622
Phvul.010G044100,Phvul.010G044100.1,GO:0005840
Phvul.010G044100,Phvul.010G044100.1,GO:0006412
Phvul.010G120850,Phvul.010G120850.1,GO:0003677
Phvul.010G120850,Phvul.010G120850.1,GO:0006355
Phvul.010G162100,Phvul.010G162100.1,GO:0008107
Phvul.010G162100,Phvul.010G162100.1,GO:0016020
Phvul.010G162100,Phvul.010G162100.1,GO:0042546
Phvul.010G081700,Phvul.010G081700.1,GO:0004222
Phvul.010G081700,Phvul.010G081700.1,GO:0002949
Phvul.010G081700,Phvul.010G081700.2,GO:0004222
Phvul.010G081700,Phvul.010G081700.2,GO:0002949
Phvul.010G081700,Phvul.010G081700.3,
Phvul.010G116100,Phvul.010G116100.2,GO:0000166
Phvul.010G116100,Phvul.010G116100.2,GO:0003676
Phvul.010G116100,Phvul.010G116100.1,GO:0000166
Phvul.010G116100,Phvul.010G116100.1,GO:0003676
Phvul.010G116100,Phvul.010G116100.3,GO:0000166
Phvul.010G116100,Phvul.010G116100.3,GO:0003676
Phvul.010G116100,Phvul.010G116100.4,GO:0000166
Phvul.010G116100,Phvul.010G116100.4,GO:0003676
Phvul.010G116100,Phvul.010G116100.5,GO:0000166
Phvul.010G116100,Phvul.010G116100.5,GO:0003676
Phvul.010G151000,Phvul.010G151000.1,GO:0008271
Phvul.010G151000,Phvul.010G151000.1,GO:0008272
Phvul.010G151000,Phvul.010G151000.1,GO:0015116
Phvul.010G151000,Phvul.010G151000.1,GO:0016020
Phvul.010G151000,Phvul.010G151000.1,GO:0016021
Phvul.010G151000,Phvul.010G151000.1,GO:0055085
Phvul.010G015900,Phvul.010G015900.1,GO:0005506
Phvul.010G015900,Phvul.010G015900.1,GO:0016491
Phvul.010G015900,Phvul.010G015900.1,GO:0055114
Phvul.010G140500,Phvul.010G140500.1,
Phvul.010G118600,Phvul.010G118600.1,GO:0000166
Phvul.010G118600,Phvul.010G118600.1,GO:0003676
Phvul.010G118600,Phvul.010G118600.2,GO:0000166
Phvul.010G118600,Phvul.010G118600.2,GO:0003676
Phvul.010G118600,Phvul.010G118600.3,GO:0000166
Phvul.010G118600,Phvul.010G118600.3,GO:0003676
Phvul.010G118600,Phvul.010G118600.4,GO:0000166
Phvul.010G118600,Phvul.010G118600.4,GO:0003676
Phvul.010G118600,Phvul.010G118600.5,GO:0000166
Phvul.010G118600,Phvul.010G118600.5,GO:0003676
Phvul.010G118600,Phvul.010G118600.6,GO:0000166
Phvul.010G118600,Phvul.010G118600.6,GO:0003676
Phvul.010G118600,Phvul.010G118600.7,GO:0000166
Phvul.010G118600,Phvul.010G118600.7,GO:0003676
Phvul.010G118600,Phvul.010G118600.8,GO:0000166
Phvul.010G118600,Phvul.010G118600.8,GO:0003676
Phvul.010G118600,Phvul.010G118600.9,GO:0000166
Phvul.010G118600,Phvul.010G118600.9,GO:0003676
Phvul.010G118600,Phvul.010G118600.10,GO:0000166
Phvul.010G118600,Phvul.010G118600.10,GO:0003676
Phvul.010G118600,Phvul.010G118600.11,GO:0000166
Phvul.010G118600,Phvul.010G118600.11,GO:0003676
Phvul.010G118600,Phvul.010G118600.12,GO:0000166
Phvul.010G118600,Phvul.010G118600.12,GO:0003676
Phvul.010G118600,Phvul.010G118600.13,GO:0000166
Phvul.010G118600,Phvul.010G118600.13,GO:0003676
Phvul.010G126700,Phvul.010G126700.4,GO:0046872
Phvul.010G126700,Phvul.010G126700.1,GO:0046872
Phvul.010G126700,Phvul.010G126700.5,GO:0046872
Phvul.010G126700,Phvul.010G126700.2,GO:0046872
Phvul.010G126700,Phvul.010G126700.6,GO:0046872
Phvul.010G126700,Phvul.010G126700.3,GO:0046872
Phvul.010G089600,Phvul.010G089600.1,GO:0016020
Phvul.010G089600,Phvul.010G089600.1,GO:0016021
Phvul.010G089600,Phvul.010G089600.2,GO:0016020
Phvul.010G089600,Phvul.010G089600.2,GO:0016021
Phvul.010G128000,Phvul.010G128000.1,GO:0046982
Phvul.010G160700,Phvul.010G160700.1,GO:0003824
Phvul.010G160700,Phvul.010G160700.1,GO:0050662
Phvul.010G139800,Phvul.010G139800.1,GO:0003824
Phvul.010G139800,Phvul.010G139800.1,GO:0004630
Phvul.010G139800,Phvul.010G139800.1,GO:0005509
Phvul.010G139800,Phvul.010G139800.1,GO:0005515
Phvul.010G139800,Phvul.010G139800.1,GO:0016020
Phvul.010G139800,Phvul.010G139800.1,GO:0046470
Phvul.010G139800,Phvul.010G139800.2,GO:0003824
Phvul.010G139800,Phvul.010G139800.2,GO:0004630
Phvul.010G139800,Phvul.010G139800.2,GO:0005509
Phvul.010G139800,Phvul.010G139800.2,GO:0005515
Phvul.010G139800,Phvul.010G139800.2,GO:0016020
Phvul.010G139800,Phvul.010G139800.2,GO:0046470
Phvul.010G139800,Phvul.010G139800.3,GO:0003824
Phvul.010G139800,Phvul.010G139800.3,GO:0004630
