GeneID,log2FC,padj,tabla_origen
Phvul.002G049000.1,6.86201516142093,4.79096696167182e-11,ev
Phvul.003G003200.1,4.07209305359144,8.21890871493183e-11,ev
Phvul.006G210200.1,3.95916335543036,2.47464050758527e-9,ev
Phvul.002G332100.1,3.94251382763802,0.00373152196203456,ev
Phvul.009G094000.1,3.89743597875224,4.92166818870379e-25,ev
Phvul.003G224600.1,3.72029010968859,0.0235318855116036,ev
Phvul.009G197000.1,3.70570340283676,3.55651725524186e-16,ev
Phvul.002G170800.1,3.65551182700521,1.62352285858193e-5,ev
Phvul.010G141200.2,3.57620323526767,1.36288516209058e-19,ev
Phvul.010G140900.1,3.46214716744178,1.07079592008143e-16,ev
Phvul.001G245800.1,3.36352107794082,3.14912442243719e-15,ev
Phvul.010G141050.1,3.33931254877912,1.47585576982879e-16,ev
Phvul.002G285800.1,3.22985395856455,2.1933442832588e-6,ev
Phvul.001G185700.1,3.21064305576152,0.00167361555545902,ev
Phvul.007G193800.1,3.18468709813738,2.22220747198529e-10,ev
Phvul.007G113700.1,3.10040556560459,1.13545373270792e-7,ev
Phvul.001G151900.2,3.07990404392839,1.03160304835167e-6,ev
Phvul.006G046000.1,3.07710225941057,2.99685873605652e-5,ev
Phvul.002G280400.1,3.04452669897401,1.19095481404313e-5,ev
Phvul.009G046500.1,3.02221410034444,0.0291889330822239,ev
Phvul.010G140800.1,2.96894612313391,1.6586325898411e-11,ev
Phvul.007G193700.1,2.91773419720509,1.56088173077212e-4,ev
Phvul.001G160100.1,2.91309826662924,3.00668956966015e-7,ev
Phvul.004G085100.1,2.88045822262115,1.13856503636449e-4,ev
Phvul.010G083700.1,2.87275145287616,4.40739681370795e-17,ev
Phvul.011G111100.1,2.85240017272498,2.60129041771867e-4,ev
Phvul.002G160100.1,2.81384593843037,2.39163266326466e-6,ev
Phvul.006G067600.1,2.78538152037276,3.99579973168655e-35,ev
Phvul.003G051800.1,2.70591356615425,8.86808209220941e-10,ev
Phvul.004G070500.2,2.70332086257402,3.24595353235397e-5,ev
Phvul.010G107400.1,2.69696645503098,1.40964020040651e-8,ev
Phvul.005G172400.1,2.69135884164663,1.43553566454987e-17,ev
Phvul.006G096200.1,2.66023745519433,4.47814380091372e-4,ev
Phvul.006G192700.1,2.64934302154666,1.53758772893964e-5,ev
Phvul.005G054200.1,2.62703356940689,2.12435469909973e-10,ev
Phvul.003G051801.1,2.62395301290592,3.81801062094586e-9,ev
Phvul.002G270700.1,2.58419552195495,2.19057929844585e-29,ev
Phvul.003G028000.1,2.57364220377981,3.26403435402616e-17,ev
