GeneID,log2FC,padj,tabla_origen
Phvul.011G199600.1,7.77134830604501,6.32019917343555e-9,ox
Phvul.011G131100.1,5.4473480744614,4.61780872982598e-8,ox
Phvul.002G189000.1,5.27234089340053,3.65822829015754e-114,ox
Phvul.010G009000.2,5.02194778973856,1.10784063494449e-6,ox
Phvul.004G044301.1,5.01458052256116,2.77830010796832e-23,ox
Phvul.002G058900.1,4.9598965339106,3.02191705040128e-12,ox
Phvul.004G155000.1,4.86870386732841,4.7787903863017e-20,ox
Phvul.003G183000.1,4.77333863746104,8.40319209373752e-6,ox
Phvul.004G076100.3,4.53252568691231,7.86303804333471e-43,ox
Phvul.007G027800.1,4.47711748266984,4.55828032451482e-11,ox
Phvul.008G201700.1,4.36043465071925,2.01209199465899e-19,ox
Phvul.010G055800.3,4.25602711633611,1.65825162873263e-24,ox
Phvul.011G143000.1,4.23738599161048,2.39619971019485e-11,ox
Phvul.002G323700.2,4.10306767255385,2.51838345270743e-22,ox
Phvul.011G061400.1,4.0999398634846,9.11953938379428e-9,ox
Phvul.003G252500.1,4.0212735538349,1.69414715555722e-84,ox
Phvul.004G073100.2,3.93501308109792,0.0205806892264164,ox
Phvul.004G012801.1,3.91810182465873,4.7766624083228e-40,ox
Phvul.011G150400.1,3.8831110905557,3.29290687897333e-37,ox
Phvul.005G177601.1,3.83031699384777,5.33136545594125e-53,ox
Phvul.003G064500.1,3.80533630708781,5.22805855337089e-20,ox
Phvul.011G200200.1,3.8043919598856,3.70037102162329e-12,ox
Phvul.004G007750.1,3.80417161122144,1.31660848047294e-19,ox
Phvul.004G155100.1,3.79068976770133,9.99331264777997e-52,ox
Phvul.009G066300.1,3.76448215407061,1.7708120050068e-220,ox
Phvul.011G074700.1,3.75455473971053,1.67582873582153e-14,ox
Phvul.010G026100.1,3.67092530703086,7.67243069571626e-155,ox
Phvul.006G071200.2,3.66830992408937,1.07422754399834e-17,ox
Phvul.005G038500.1,3.66786481143246,2.37597833864693e-10,ox
Phvul.011G016200.1,3.63341229972616,1.9710261784984e-32,ox
Phvul.010G072000.1,3.60236372118151,1.27295461508264e-20,ox
Phvul.006G079600.1,3.57105775824672,5.48128610206772e-103,ox
Phvul.001G124800.1,3.48524022674966,8.76340389891928e-152,ox
Phvul.001G124700.1,3.48472951879404,3.08726289385944e-37,ox
