GeneID,log2FC,padj,tabla_origen
Phvul.011G199600.1,7.63807604150997,7.783086566032e-8,ox_lp
Phvul.010G009000.2,4.91712074447507,1.79425978358273e-5,ox_lp
Phvul.005G022500.1,4.13722542685754,3.70486188234978e-17,ox_lp
Phvul.008G201700.1,4.02635080805472,8.33116198494205e-54,ox_lp
Phvul.003G252500.1,3.81332917291879,2.60932161450566e-44,ox_lp
Phvul.006G079600.1,3.8082443653466,4.39357052245347e-67,ox_lp
Phvul.010G007700.1,3.78332727737279,2.38411346110241e-17,ox_lp
Phvul.003G286300.1,3.54069451162511,8.09668412828843e-10,ox_lp
Phvul.006G020400.1,3.53330729747817,8.41988334615126e-6,ox_lp
Phvul.002G269500.1,3.42950465106067,4.65663704831005e-53,ox_lp
Phvul.008G023800.1,3.31049049131165,2.85982884938127e-8,ox_lp
Phvul.008G040500.1,3.23121488711492,1.35375113844575e-4,ox_lp
Phvul.011G131100.1,3.20044954075692,2.66838728466774e-6,ox_lp
Phvul.003G140800.1,3.16099888999671,6.55845606324609e-22,ox_lp
Phvul.006G176500.1,3.1583527473408,3.52735283376263e-10,ox_lp
Phvul.004G148800.1,3.03376597229195,1.37428155177329e-6,ox_lp
Phvul.003G224800.1,2.98488371139636,2.29701112491396e-33,ox_lp
Phvul.010G055800.3,2.9479705994563,3.71321675490703e-12,ox_lp
Phvul.003G098400.1,2.92726241955603,7.55272785729608e-5,ox_lp
Phvul.011G074700.1,2.88697109215298,6.61440201100808e-4,ox_lp
Phvul.002G304904.1,2.81869387639237,7.10598014977804e-13,ox_lp
Phvul.005G075400.1,2.80587720325393,2.89459767164134e-47,ox_lp
Phvul.011G080500.1,2.77001748026346,9.41366478877892e-12,ox_lp
Phvul.009G066300.1,2.75736729977988,5.18914946404362e-27,ox_lp
Phvul.008G129700.1,2.66684537830332,1.06074161271031e-12,ox_lp
Phvul.005G169200.1,2.6601413879857,2.76772230072171e-26,ox_lp
Phvul.008G207900.1,2.63157201733935,1.1617628790603e-5,ox_lp
Phvul.006G023900.1,2.62641268296594,1.0854842773482e-5,ox_lp
Phvul.006G207800.1,2.61558662471242,2.21283306532042e-20,ox_lp
Phvul.003G015600.1,2.59352015512038,0.00887233854827878,ox_lp
Phvul.007G011400.1,2.57750143244698,5.38659457348895e-14,ox_lp
Phvul.003G064500.1,2.56083504013462,2.58827493905734e-12,ox_lp
Phvul.007G195000.1,2.54701083682058,7.0057403171253e-8,ox_lp
Phvul.005G151800.1,2.5073653012454,1.51317438379601e-5,ox_lp
Phvul.003G025100.1,2.4985177627886,6.85795908156708e-19,ox_lp
Phvul.008G001500.1,2.44179291097564,4.04914709329913e-10,ox_lp
Phvul.011G067000.1,2.42414033295264,1.8908247766539e-9,ox_lp
Phvul.005G061801.1,2.42224211895088,4.46285103362475e-8,ox_lp
Phvul.007G125500.1,2.42044044612402,2.04807115437801e-12,ox_lp
Phvul.008G188300.1,2.41453680842498,1.26548194849863e-17,ox_lp
Phvul.004G102800.1,2.39965301940421,1.52329203419107e-19,ox_lp
Phvul.008G140800.1,2.39921708415769,1.25666230973756e-32,ox_lp
Phvul.011G132500.1,2.3961407810755,2.83216775036433e-5,ox_lp
Phvul.011G049300.1,2.37341982389842,2.63557564774047e-8,ox_lp
Phvul.006G085900.1,2.36259081078623,1.52561570920361e-21,ox_lp
Phvul.009G156300.1,2.35825484146561,7.6069840169309e-31,ox_lp
Phvul.007G043100.1,2.35217831036246,0.00876776071155287,ox_lp
Phvul.010G122500.1,2.33123501427362,2.29464050459203e-11,ox_lp
Phvul.008G118700.1,2.32458092922424,1.62747363987113e-6,ox_lp
Phvul.005G075300.1,2.32247230650158,0.00144627772472813,ox_lp
Phvul.004G007100.1,2.31748891529584,5.60479262676736e-33,ox_lp
Phvul.003G122400.1,2.31266132769647,1.11434086184073e-14,ox_lp
Phvul.002G246000.1,2.28308770307077,1.4000779217681e-6,ox_lp
Phvul.003G228000.1,2.24649145910586,3.85329373153963e-48,ox_lp
Phvul.006G190400.1,2.23530202648042,2.15090480895339e-37,ox_lp
Phvul.002G049000.1,2.22890526851918,2.26545502857707e-12,ox_lp
Phvul.006G207600.1,2.20875949364778,2.52395363186522e-24,ox_lp
Phvul.003G012600.1,2.20515987131293,1.05532799727233e-16,ox_lp
Phvul.010G085600.1,2.18596238103682,0.00246156840421053,ox_lp
Phvul.007G258300.1,2.18484973144795,3.12515123076753e-8,ox_lp
Phvul.008G058800.1,2.1847837109089,0.00104052782236884,ox_lp
Phvul.005G047000.1,2.17507341965514,0.00133968920648984,ox_lp
Phvul.008G012200.1,2.17264601622841,1.27381132545958e-4,ox_lp
Phvul.007G201100.1,2.16271255928587,0.00204824146050013,ox_lp
Phvul.011G200200.1,2.15270316568469,6.69274147611388e-5,ox_lp
Phvul.001G124800.1,2.1453995414039,4.29969406463199e-9,ox_lp
Phvul.006G150900.1,2.13301583817763,1.89793364341805e-5,ox_lp
Phvul.004G095200.1,2.13185129066546,9.33758435845572e-12,ox_lp
Phvul.007G151300.1,2.12287448557503,1.46714148489759e-40,ox_lp
Phvul.003G119900.1,2.12109752366659,7.18962226140838e-5,ox_lp
Phvul.001G023000.1,2.11605105110997,0.00162940239659895,ox_lp
Phvul.003G095000.1,2.11599114081252,8.03482653954967e-9,ox_lp
Phvul.004G124400.1,2.1155610060389,1.47989035758568e-19,ox_lp
Phvul.005G133650.1,2.10638004406093,2.59615463177346e-4,ox_lp
Phvul.004G047900.1,2.07913641952124,1.10932504306973e-47,ox_lp
Phvul.008G158136.1,2.07867512782153,1.3865828191801e-25,ox_lp
Phvul.002G111900.1,2.07523882206181,1.02987516746764e-4,ox_lp
Phvul.005G049801.1,2.07240742145482,4.40029730661124e-4,ox_lp
Phvul.008G167850.1,2.06860879724331,1.51317656434419e-5,ox_lp
Phvul.005G079733.1,2.06819996753028,7.76930640704721e-5,ox_lp
Phvul.006G079500.1,2.06551001810438,3.04677587433786e-26,ox_lp
Phvul.011G178800.1,2.06123292745598,1.21349583533038e-4,ox_lp
Phvul.010G127500.1,2.05907551009426,6.0019120800259e-6,ox_lp
Phvul.003G183000.1,2.05839409873971,0.00631287368303832,ox_lp
Phvul.007G107400.1,2.05133023677936,1.65391999556555e-24,ox_lp
Phvul.006G045800.1,2.04965791277489,9.23622920062493e-8,ox_lp
Phvul.002G276800.1,2.04464198589295,1.0866280032754e-13,ox_lp
Phvul.002G117700.1,2.04253793130876,2.69473635639427e-64,ox_lp
Phvul.011G040800.1,2.03249000739865,6.17387771872732e-5,ox_lp
Phvul.005G068200.1,2.03233716811095,0.028428188903491,ox_lp
