cluster,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
cluster_1,GO:0020037,heme binding,83/1234,472/24738,0.17584745762711865,3.525214268054831,12.69200815199099,5.5545731645171614e-24,1.6941448151777343e-21,1.4851174566182728e-21,Phvul.001G037100.1/Phvul.001G059100.1/Phvul.001G076000.1/Phvul.001G094200.1/Phvul.001G118600.1/Phvul.001G157900.1/Phvul.001G201300.1/Phvul.001G242200.1/Phvul.002G005900.1/Phvul.002G012300.1/Phvul.002G014800.1/Phvul.002G025000.1/Phvul.002G025200.1/Phvul.002G025300.2/Phvul.003G003100.1/Phvul.003G041200.1/Phvul.003G143400.2/Phvul.003G183100.1/Phvul.003G214350.1/Phvul.003G253100.1/Phvul.003G294000.1/Phvul.004G068000.2/Phvul.004G068200.2/Phvul.004G068300.1/Phvul.004G090800.1/Phvul.004G114300.1/Phvul.004G159900.2/Phvul.005G063200.1/Phvul.005G063400.1/Phvul.005G063500.2/Phvul.006G028100.1/Phvul.006G039800.1/Phvul.006G054200.1/Phvul.006G075800.1/Phvul.006G078800.1/Phvul.006G078900.1/Phvul.006G079100.1/Phvul.006G079700.1/Phvul.006G123600.1/Phvul.006G129800.1/Phvul.006G129900.1/Phvul.007G003100.1/Phvul.007G071400.1/Phvul.007G071500.1/Phvul.007G082600.1/Phvul.007G114200.1/Phvul.007G141900.1/Phvul.007G142200.2/Phvul.007G142500.1/Phvul.007G142600.1/Phvul.007G257400.1/Phvul.007G257500.1/Phvul.008G005600.1/Phvul.008G028800.1/Phvul.008G034400.1/Phvul.008G086800.1/Phvul.008G128700.1/Phvul.008G218500.1/Phvul.008G249800.1/Phvul.008G249900.1/Phvul.008G262600.1/Phvul.008G277466.1/Phvul.009G041200.1/Phvul.009G060000.1/Phvul.009G081700.1/Phvul.009G172001.1/Phvul.009G197100.1/Phvul.009G199200.1/Phvul.009G238400.1/Phvul.009G244200.1/Phvul.010G010900.1/Phvul.010G022400.1/Phvul.010G066600.1/Phvul.010G077000.1/Phvul.010G099900.1/Phvul.010G139600.1/Phvul.011G000200.1/Phvul.011G029000.1/Phvul.011G092100.1/Phvul.011G105900.1/Phvul.011G161100.1/Phvul.011G173200.1/Phvul.L001846.1,83
cluster_1,GO:0004497,monooxygenase activity,54/1234,254/24738,0.2125984251968504,4.26196097448921,11.973321359696692,7.537841710655724e-20,1.149520860874998e-17,1.0076904181613442e-17,Phvul.001G037100.1/Phvul.001G118600.1/Phvul.001G157900.1/Phvul.001G242200.1/Phvul.002G005900.1/Phvul.002G014800.1/Phvul.002G025000.1/Phvul.002G025200.1/Phvul.002G025300.2/Phvul.003G041200.1/Phvul.003G183100.1/Phvul.003G214350.1/Phvul.003G253100.1/Phvul.004G068000.2/Phvul.004G068200.2/Phvul.004G068300.1/Phvul.004G114300.1/Phvul.004G159900.2/Phvul.005G063200.1/Phvul.005G063400.1/Phvul.005G063500.2/Phvul.006G028100.1/Phvul.006G039800.1/Phvul.006G054200.1/Phvul.006G078800.1/Phvul.006G078900.1/Phvul.006G079100.1/Phvul.006G123600.1/Phvul.007G003100.1/Phvul.007G071400.1/Phvul.007G071500.1/Phvul.007G257400.1/Phvul.008G005600.1/Phvul.008G028800.1/Phvul.008G034400.1/Phvul.008G128700.1/Phvul.008G262600.1/Phvul.008G277466.1/Phvul.009G041200.1/Phvul.009G060000.1/Phvul.009G081700.1/Phvul.009G199200.1/Phvul.009G244200.1/Phvul.010G010900.1/Phvul.010G022400.1/Phvul.010G077000.1/Phvul.010G099900.1/Phvul.010G139600.1/Phvul.011G000200.1/Phvul.011G029000.1/Phvul.011G092100.1/Phvul.011G161100.1/Phvul.011G173200.1/Phvul.L001846.1,54
cluster_1,GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",58/1234,333/24738,0.17417417417417416,3.491669951961686,10.48898419031843,6.450071353990801e-17,6.557572543223981e-15,5.7484846453111e-15,Phvul.001G037100.1/Phvul.001G094200.1/Phvul.001G118600.1/Phvul.001G157900.1/Phvul.001G242200.1/Phvul.002G005900.1/Phvul.002G014800.1/Phvul.002G025000.1/Phvul.002G025200.1/Phvul.002G025300.2/Phvul.003G041200.1/Phvul.003G183100.1/Phvul.003G214350.1/Phvul.003G253100.1/Phvul.004G068000.2/Phvul.004G068200.2/Phvul.004G068300.1/Phvul.004G114300.1/Phvul.004G159900.2/Phvul.005G063200.1/Phvul.005G063400.1/Phvul.005G063500.2/Phvul.006G028100.1/Phvul.006G039800.1/Phvul.006G054200.1/Phvul.006G078800.1/Phvul.006G078900.1/Phvul.006G079100.1/Phvul.006G079700.1/Phvul.006G123600.1/Phvul.007G003100.1/Phvul.007G071400.1/Phvul.007G071500.1/Phvul.007G257400.1/Phvul.007G257500.1/Phvul.008G005600.1/Phvul.008G028800.1/Phvul.008G034400.1/Phvul.008G128700.1/Phvul.008G262600.1/Phvul.008G277466.1/Phvul.009G041200.1/Phvul.009G060000.1/Phvul.009G081700.1/Phvul.009G172001.1/Phvul.009G199200.1/Phvul.009G244200.1/Phvul.010G010900.1/Phvul.010G022400.1/Phvul.010G077000.1/Phvul.010G099900.1/Phvul.010G139600.1/Phvul.011G000200.1/Phvul.011G029000.1/Phvul.011G092100.1/Phvul.011G161100.1/Phvul.011G173200.1/Phvul.L001846.1,58
cluster_1,GO:0005506,iron ion binding,68/1234,443/24738,0.15349887133182843,3.077192122371776,10.108350292703484,1.201043501427863e-16,9.157956698387454e-15,8.028027614807293e-15,Phvul.001G037100.1/Phvul.001G066000.1/Phvul.001G094200.1/Phvul.001G118600.1/Phvul.001G157900.1/Phvul.001G242200.1/Phvul.002G005900.1/Phvul.002G014800.1/Phvul.002G025000.1/Phvul.002G025200.1/Phvul.002G025300.2/Phvul.003G011900.1/Phvul.003G041200.1/Phvul.003G118300.1/Phvul.003G151600.3/Phvul.003G183100.1/Phvul.003G214350.1/Phvul.003G253100.1/Phvul.003G293200.1/Phvul.004G068000.2/Phvul.004G068200.2/Phvul.004G068300.1/Phvul.004G114300.1/Phvul.004G123600.1/Phvul.004G159900.2/Phvul.005G063200.1/Phvul.005G063400.1/Phvul.005G063500.2/Phvul.005G094000.1/Phvul.006G028100.1/Phvul.006G039800.1/Phvul.006G054200.1/Phvul.006G078800.1/Phvul.006G078900.1/Phvul.006G079100.1/Phvul.006G079700.1/Phvul.006G123600.1/Phvul.007G003100.1/Phvul.007G071400.1/Phvul.007G071500.1/Phvul.007G257400.1/Phvul.007G257500.1/Phvul.008G005600.1/Phvul.008G028800.1/Phvul.008G034400.1/Phvul.008G128700.1/Phvul.008G134100.1/Phvul.008G209900.1/Phvul.008G262600.1/Phvul.008G277466.1/Phvul.009G041200.1/Phvul.009G060000.1/Phvul.009G081700.1/Phvul.009G172001.1/Phvul.009G199200.1/Phvul.009G244200.1/Phvul.010G000300.2/Phvul.010G010900.1/Phvul.010G022400.1/Phvul.010G077000.1/Phvul.010G099900.1/Phvul.010G139600.1/Phvul.011G000200.1/Phvul.011G029000.1/Phvul.011G092100.1/Phvul.011G161100.1/Phvul.011G173200.1/Phvul.L001846.1,68
cluster_1,GO:0009607,response to biotic stimulus,16/1234,46/24738,0.34782608695652173,6.972870128954971,9.290606340209793,3.205328589801808e-10,1.9552504397791028e-8,1.7140072880203356e-8,Phvul.003G109100.1/Phvul.003G109300.1/Phvul.003G109400.1/Phvul.003G109401.1/Phvul.003G109601.1/Phvul.003G109800.1/Phvul.003G109802.1/Phvul.009G252300.1/Phvul.009G252900.1/Phvul.011G019300.1/Phvul.011G182500.2/Phvul.011G183000.1/Phvul.011G183100.1/Phvul.011G183600.2/Phvul.011G183950.1/Phvul.011G184200.1,16
cluster_1,GO:0016758,hexosyltransferase activity,35/1234,233/24738,0.15021459227467812,3.0113521747901033,7.068038910072172,5.6069652476057884e-9,2.850207334199609e-7,2.4985424085822284e-7,Phvul.001G182100.1/Phvul.001G182200.1/Phvul.001G182300.1/Phvul.001G182400.1/Phvul.001G238900.1/Phvul.002G075200.1/Phvul.003G047200.2/Phvul.004G035300.1/Phvul.004G037100.1/Phvul.004G086500.1/Phvul.004G104100.1/Phvul.004G137900.2/Phvul.005G005500.1/Phvul.006G017400.1/Phvul.006G017500.1/Phvul.006G050000.1/Phvul.006G201100.1/Phvul.006G208300.1/Phvul.007G020800.1/Phvul.007G135800.1/Phvul.007G251100.1/Phvul.008G034300.1/Phvul.008G130100.2/Phvul.008G208500.1/Phvul.008G290200.1/Phvul.008G290300.1/Phvul.008G291000.1/Phvul.010G042200.1/Phvul.010G071900.1/Phvul.010G101600.1/Phvul.010G101800.1/Phvul.011G060300.1/Phvul.011G136400.1/Phvul.011G138500.1/Phvul.011G151100.1,35
cluster_1,GO:0004601,peroxidase activity,22/1234,126/24738,0.1746031746031746,3.500270124257158,6.447019087803307,2.671972468921946e-7,1.1642165757445621e-5,1.0205729430168034e-5,Phvul.001G059100.1/Phvul.001G076000.1/Phvul.001G201300.1/Phvul.002G012300.1/Phvul.003G003100.1/Phvul.003G143400.2/Phvul.003G294000.1/Phvul.004G090800.1/Phvul.006G075800.1/Phvul.006G129800.1/Phvul.006G129900.1/Phvul.007G082600.1/Phvul.007G114200.1/Phvul.007G196800.1/Phvul.008G086800.1/Phvul.008G218500.1/Phvul.008G249800.1/Phvul.008G249900.1/Phvul.009G197100.1/Phvul.009G238400.1/Phvul.010G066600.1/Phvul.011G105900.1,22
cluster_1,GO:0030247,polysaccharide binding,18/1234,95/24738,0.18947368421052632,3.7983792544570503,6.261549119768105,9.306641272182447e-7,3.548156985019558e-5,3.110377477808344e-5,Phvul.001G047900.1/Phvul.001G048050.1/Phvul.001G048200.1/Phvul.001G048600.1/Phvul.001G048701.1/Phvul.001G048800.1/Phvul.001G048900.1/Phvul.001G049000.1/Phvul.001G049300.1/Phvul.001G069280.1/Phvul.001G070100.1/Phvul.001G076100.1/Phvul.002G080000.1/Phvul.003G119500.1/Phvul.004G155800.1/Phvul.008G174300.1/Phvul.008G175100.1/Phvul.008G175200.1,18
cluster_1,GO:0006979,response to oxidative stress,21/1234,135/24738,0.15555555555555556,3.1184224743381956,5.6551695641989115,3.453143558108271e-6,1.1702319835811362e-4,1.0258461564438606e-4,Phvul.001G059100.1/Phvul.001G076000.1/Phvul.001G201300.1/Phvul.002G012300.1/Phvul.003G003100.1/Phvul.003G143400.2/Phvul.003G294000.1/Phvul.004G090800.1/Phvul.006G075800.1/Phvul.006G129800.1/Phvul.006G129900.1/Phvul.007G082600.1/Phvul.007G114200.1/Phvul.008G086800.1/Phvul.008G218500.1/Phvul.008G249800.1/Phvul.008G249900.1/Phvul.009G197100.1/Phvul.009G238400.1/Phvul.010G066600.1/Phvul.011G105900.1,21
cluster_1,GO:0006952,defense response,21/1234,141/24738,0.14893617021276595,2.985723645642953,5.418106011588158,6.968447888972517e-6,2.1253766061366176e-4,1.8631429092621257e-4,Phvul.003G109100.1/Phvul.003G109300.1/Phvul.003G109400.1/Phvul.003G109401.1/Phvul.003G109601.1/Phvul.003G109800.1/Phvul.003G109802.1/Phvul.007G093600.1/Phvul.008G145000.1/Phvul.009G006800.1/Phvul.009G007000.1/Phvul.009G252300.1/Phvul.009G252900.1/Phvul.011G019300.1/Phvul.011G122800.1/Phvul.011G182500.2/Phvul.011G183000.1/Phvul.011G183100.1/Phvul.011G183600.2/Phvul.011G183950.1/Phvul.011G184200.1,21
