GeneID,log2FC_dat_ev,log2FC_dat_rna,log2FC_dat_ox,log2FC_dat_rna_lp,log2FC_dat_ox_lp,log2FC_dat_rna_op,log2FC_dat_ox_op
Phvul.001G005000.1,NA,NA,NA,NA,-1.00479808681352,NA,NA
Phvul.001G006300.1,NA,1.64716975854551,NA,NA,1.21977777827905,-1.52894228190476,1.09773375683179
Phvul.001G009100.1,1.11735595846683,1.02327539077296,NA,NA,NA,NA,NA
Phvul.001G009200.1,NA,NA,NA,NA,-1.07153514698553,NA,NA
Phvul.001G009400.1,NA,NA,1.05803748456569,NA,NA,NA,NA
Phvul.001G010100.1,NA,NA,-1.70042579571808,NA,-1.1834802932724,NA,NA
Phvul.001G010200.1,NA,NA,1.11361704566861,NA,NA,NA,NA
Phvul.001G011800.1,NA,NA,-1.49840879715974,NA,-1.57644001626762,NA,NA
Phvul.001G013300.1,NA,1.67811702123282,NA,NA,NA,NA,NA
Phvul.001G013800.1,NA,NA,NA,-1.01822548904178,NA,NA,NA
Phvul.001G015000.1,NA,NA,NA,NA,-1.34109938270823,NA,NA
Phvul.001G017000.1,NA,NA,-1.27363359900407,NA,-1.3788176396901899,NA,NA
Phvul.001G018300.1,NA,NA,-2.0072739464163,NA,-1.82881241133799,NA,NA
Phvul.001G019500.1,NA,NA,-1.83388314960632,NA,-2.15200013770944,NA,NA
Phvul.001G019700.1,NA,NA,NA,NA,NA,-1.94169910921599,-2.64257594056993
Phvul.001G021400.1,1.88115954265965,3.14192064366783,1.09609972820637,2.87862022796227,NA,1.63961960597033,NA
Phvul.001G021500.1,-1.68522547859735,NA,-1.0447697368461,NA,NA,NA,NA
Phvul.001G021700.1,NA,-1.40316719456866,NA,-1.51617956391511,NA,NA,NA
Phvul.001G021800.1,NA,-1.12077463923732,NA,NA,NA,NA,NA
Phvul.001G022900.1,NA,NA,NA,NA,-1.44931119862194,NA,NA
Phvul.001G023000.1,NA,NA,2.77402343892471,NA,2.11605105110997,NA,NA
Phvul.001G024300.1,NA,NA,1.22430841425225,NA,NA,NA,NA
Phvul.001G024400.1,-1.87053921083709,-1.78764264176661,NA,NA,NA,NA,-1.83471946795126
Phvul.001G025300.1,NA,NA,NA,NA,1.19282367048307,NA,NA
Phvul.001G026200.1,1.04533590748092,1.96639206500608,1.15919323142886,NA,1.61151031621747,NA,1.51064890020156
Phvul.001G027900.1,NA,NA,-6.34429687435724,NA,NA,NA,NA
Phvul.001G028700.1,NA,NA,-6.21718707509715,NA,NA,NA,NA
Phvul.001G028800.1,NA,NA,NA,NA,-1.258162396753,NA,NA
Phvul.001G029100.1,1.97878250933163,1.27607860267284,NA,NA,NA,NA,1.22712554649736
Phvul.001G030800.1,NA,NA,NA,NA,-1.08569230646573,NA,NA
Phvul.001G031200.1,NA,NA,-1.18963616719504,NA,-1.03028390813668,NA,NA
Phvul.001G031900.1,NA,1.08423627414588,NA,NA,1.0036486214177,NA,1.03959395264895
Phvul.001G032150.1,NA,NA,NA,NA,1.18748437183743,NA,NA
Phvul.001G032200.1,NA,NA,NA,NA,NA,NA,-1.01274607117549
Phvul.001G036600.1,NA,NA,-1.19058877949514,NA,-2.40684031957831,NA,-2.02384374794096
Phvul.001G036700.1,NA,NA,1.21450789277622,NA,NA,NA,-1.86952273013351
Phvul.001G036800.1,NA,NA,NA,NA,NA,NA,-1.12702028264894
Phvul.001G037100.1,-1.88995445885801,NA,NA,NA,NA,-1.7082550453112,-1.59201515332987
Phvul.001G037900.1,1.8468482027969,1.69605710173078,NA,NA,NA,NA,1.39860865798667
Phvul.001G038500.1,NA,-1.207327640293,NA,NA,NA,NA,NA
Phvul.001G039200.1,1.34040732965592,NA,NA,NA,NA,NA,1.14463520157745
Phvul.001G039700.1,2.14427623563285,2.17177288364871,2.34385533359578,NA,1.11871216833735,-1.16431677127687,NA
Phvul.001G039800.1,2.07631280860775,3.69012182017058,2.45339775441197,NA,1.41227940678529,-2.80597413052173,1.04742451669425
Phvul.001G040000.1,NA,NA,NA,NA,NA,NA,-1.52391091720696
Phvul.001G040300.1,NA,NA,NA,NA,NA,NA,-1.64285984921894
Phvul.001G040750.1,NA,NA,NA,NA,1.12723932488056,NA,NA
Phvul.001G041200.1,NA,NA,NA,NA,-1.1232676935871,NA,NA
Phvul.001G042100.1,NA,NA,1.36260902027859,NA,1.12303248697255,NA,NA
Phvul.001G042200.1,-2.18152711452423,-1.51867250430686,-1.68245152725096,NA,NA,NA,-1.82155123455695
Phvul.001G043000.1,NA,NA,-4.82982378580666,NA,-4.6999753112281,NA,NA
Phvul.001G043600.1,-1.19041799557613,NA,NA,NA,NA,NA,NA
Phvul.001G044500.1,NA,NA,-1.57238443364266,-1.19901066242923,-1.55042106200615,-1.30578769240237,NA
Phvul.001G044700.1,NA,NA,1.46454228069336,NA,1.05824741224354,NA,NA
Phvul.001G045700.1,NA,NA,-1.34422399801803,NA,NA,NA,1.28609975015702
Phvul.001G046200.1,NA,NA,-2.43891852285515,NA,-2.56017359747559,NA,NA
Phvul.001G046300.1,-1.15761219820026,NA,-1.22961128275649,NA,-1.49960125142197,NA,-1.41365604787576
Phvul.001G047100.1,NA,NA,-1.22564831892892,NA,-1.03375018592899,NA,NA
Phvul.001G047800.1,NA,NA,-2.16750059823047,NA,-1.90980078381534,NA,NA
Phvul.001G047900.1,NA,NA,-2.48408756346335,NA,-2.01993256845296,NA,NA
Phvul.001G048050.1,NA,NA,-2.56202971837091,NA,-2.24790138034222,NA,NA
Phvul.001G048200.1,NA,NA,-1.00764533307301,NA,-1.0933822023998,NA,NA
Phvul.001G048500.1,NA,NA,-1.46767535309031,NA,-1.10476887745307,NA,NA
Phvul.001G048600.1,NA,NA,-1.47755510351413,NA,-1.2511178294595,NA,NA
Phvul.001G048701.1,NA,NA,-1.77397003275719,NA,-1.1704403870995,NA,NA
Phvul.001G048800.1,NA,NA,-2.31439858613622,NA,-2.02617395302592,-1.27355798682875,NA
Phvul.001G048900.1,NA,NA,-1.27488298965213,NA,NA,-1.1412508377272,NA
Phvul.001G049000.1,NA,NA,-1.25783406535101,NA,-1.02184094321147,NA,NA
Phvul.001G049300.1,NA,NA,-2.51316240791293,NA,-2.12937671399165,NA,NA
Phvul.001G050000.1,NA,NA,2.0121948044399,NA,NA,NA,NA
Phvul.001G050300.1,NA,-1.45428559127326,NA,NA,-1.51044719604436,NA,-1.09200367140633
Phvul.001G050700.1,NA,NA,NA,NA,NA,NA,-1.06138082682048
Phvul.001G051000.1,NA,NA,NA,NA,-1.29295005144823,NA,NA
Phvul.001G052200.1,NA,1.06649285103411,NA,NA,NA,-1.1417854606384,NA
Phvul.001G054500.1,NA,-1.11948145940715,NA,NA,NA,NA,NA
Phvul.001G055000.1,NA,NA,2.53939888569065,NA,NA,NA,-1.41843940514833
Phvul.001G056100.1,-1.65591939586648,NA,NA,NA,NA,NA,-1.66393044336346
Phvul.001G057300.1,NA,NA,-1.297701178691,NA,-1.31565695681917,NA,NA
Phvul.001G058400.1,NA,NA,NA,NA,NA,1.34192099813408,NA
Phvul.001G059100.1,NA,-1.00728362074844,NA,NA,NA,NA,NA
Phvul.001G059600.1,1.52299999365117,2.2675099781458,NA,NA,NA,-1.63811165221697,NA
Phvul.001G059700.2,1.36927696754807,NA,NA,NA,NA,NA,NA
Phvul.001G064000.1,1.88010002178822,2.04225571664883,NA,1.04688999485724,NA,NA,1.94936416441757
Phvul.001G065300.1,2.26034495873438,1.81830741891969,NA,NA,NA,NA,2.25217317265081
Phvul.001G066000.1,NA,NA,-1.01293966364016,NA,NA,NA,NA
Phvul.001G066700.1,1.09313313918213,NA,NA,NA,NA,NA,NA
Phvul.001G066800.1,1.28979092493792,NA,NA,NA,NA,NA,NA
Phvul.001G067400.1,NA,1.54764882159602,NA,NA,-1.03694630529515,-1.17055015639182,NA
Phvul.001G067700.1,NA,NA,-1.20332935520755,NA,-1.18584164080679,NA,NA
Phvul.001G068100.1,NA,NA,1.18900720697878,NA,NA,NA,NA
Phvul.001G069232.1,NA,NA,NA,NA,NA,NA,-1.45831700515906
Phvul.001G069264.1,NA,NA,NA,NA,NA,NA,-1.60543671423568
Phvul.001G069280.1,NA,NA,NA,NA,-1.43803118717098,NA,NA
Phvul.001G069300.1,NA,NA,NA,NA,NA,NA,-2.16634476689745
Phvul.001G069600.1,NA,NA,NA,NA,NA,NA,-1.18011447386482
Phvul.001G070000.1,NA,NA,NA,NA,NA,NA,-1.40745394495433
Phvul.001G070100.1,NA,NA,NA,NA,NA,NA,-1.02077978786701
Phvul.001G072200.1,NA,NA,-1.06611933881371,NA,-1.03652072554164,NA,NA
Phvul.001G073501.1,NA,NA,NA,NA,-1.42680346609122,NA,NA
Phvul.001G073700.1,NA,NA,1.35025444273301,NA,NA,NA,NA
Phvul.001G074200.1,NA,1.18991049747934,NA,NA,NA,NA,1.53589916665137
Phvul.001G075000.1,NA,NA,NA,NA,1.06380316215515,NA,NA
Phvul.001G075100.1,NA,NA,NA,-1.45338596718144,-1.27187773282645,-1.11559226334598,NA
Phvul.001G075300.1,NA,NA,NA,NA,-1.18837755790034,NA,NA
Phvul.001G075400.1,NA,NA,1.13864491555752,NA,NA,NA,NA
Phvul.001G075800.2,NA,NA,NA,NA,1.38381977596127,NA,NA
Phvul.001G076000.1,NA,NA,-1.11180326298981,-1.14635074033155,NA,NA,NA
Phvul.001G076100.1,NA,1.44032273462566,NA,NA,NA,NA,1.17318247950442
Phvul.001G076700.1,NA,-1.1143339348536,-3.6826506090651,-1.63216848545885,-4.34399597199005,NA,NA
Phvul.001G076750.1,NA,-1.06434921095431,-3.52649353092491,-1.34544647924584,-4.05474072987534,NA,NA
Phvul.001G077400.1,-2.20184464703151,NA,NA,1.65800828052491,NA,-1.37981195066244,-1.47313560403864
Phvul.001G079500.1,1.26957209048102,NA,NA,NA,NA,NA,1.06761496577083
Phvul.001G081632.1,NA,1.12670776206488,1.20453810812528,NA,1.13413727024404,NA,NA
Phvul.001G083100.1,NA,NA,-1.11173928193479,NA,NA,NA,NA
Phvul.001G083800.5,1.44516536294492,1.1566711347796,NA,NA,NA,NA,1.07310948562653
Phvul.001G084100.2,1.57432930049488,NA,NA,NA,NA,NA,NA
Phvul.001G085900.1,NA,-1.14135196943093,NA,NA,-1.85807242958702,NA,NA
Phvul.001G086200.2,NA,NA,-1.144564473262,NA,-1.32304349117739,NA,NA
Phvul.001G087800.2,NA,NA,-1.34311107510943,NA,NA,NA,NA
Phvul.001G088200.2,1.33628611752203,1.21884046967904,NA,NA,NA,NA,NA
Phvul.001G089000.1,NA,NA,-8.18538351582353,NA,NA,NA,NA
Phvul.001G089800.1,NA,NA,NA,NA,-1.60838066905146,NA,NA
Phvul.001G090400.1,NA,1.02640471564658,1.5736218155706,NA,1.31280212423295,NA,NA
Phvul.001G090900.1,2.56106299955305,1.3545361996104,NA,NA,NA,NA,1.79025509903659
Phvul.001G091000.1,1.98548620199784,2.31589302378712,NA,NA,NA,NA,1.6010258829708
Phvul.001G092800.1,NA,NA,1.20556740319055,NA,1.41196170010148,NA,NA
Phvul.001G094200.1,NA,NA,-1.20439192151762,NA,NA,NA,NA
Phvul.001G098300.2,NA,NA,1.02581903158939,NA,NA,NA,NA
Phvul.001G098600.1,NA,NA,1.02375331233341,NA,1.26003850399513,NA,NA
Phvul.001G099700.1,NA,NA,NA,NA,NA,NA,-1.22412094081784
Phvul.001G100200.1,1.29273296189032,NA,NA,NA,NA,NA,NA
Phvul.001G101400.1,NA,NA,NA,NA,1.22297919566314,NA,NA
Phvul.001G103600.1,1.77248650640446,2.22264236922193,2.27541801616083,NA,1.77448194752653,NA,1.2913560394364
Phvul.001G106200.1,NA,1.86962238845697,NA,NA,1.2324055429527,NA,1.16348180396827
Phvul.001G108101.1,1.6383275187591,2.21169044799567,2.45195060020339,NA,2.0147734851636,NA,1.21810517857645
Phvul.001G108200.2,NA,-1.48635099884887,NA,-1.07158378148347,NA,NA,NA
Phvul.001G109200.1,1.25276817641538,1.13587582516605,NA,NA,NA,NA,1.32177539583673
Phvul.001G109500.1,NA,1.17210364183949,NA,NA,NA,NA,1.29791041818942
Phvul.001G111500.1,1.51385491033602,NA,NA,NA,NA,1.06430164594083,NA
Phvul.001G112200.1,1.30263333425236,1.36132523836431,NA,NA,NA,NA,1.12199124522529
Phvul.001G112400.1,1.07790085585723,1.28579506866375,1.12760941656007,NA,1.08176176571979,NA,1.04632921598732
Phvul.001G112500.1,1.26765271404434,1.68642369150056,1.15832153343124,NA,1.49582437643511,NA,1.62240410450434
Phvul.001G112700.1,-2.28166312450557,NA,NA,NA,NA,NA,NA
Phvul.001G114000.1,1.52681371837676,1.01823160346288,-1.31174568902201,NA,NA,1.22323097827359,1.87121769464813
Phvul.001G114100.2,NA,1.50602211487014,NA,NA,1.08790429839414,NA,1.22064724023809
Phvul.001G114800.1,1.55106811420413,1.29665300409077,NA,NA,NA,NA,1.35918368386297
Phvul.001G116300.1,NA,-1.1971954744242,NA,NA,NA,NA,NA
