GeneID,padj_dat_ev,padj_dat_rna,padj_dat_ox,padj_dat_rna_lp,padj_dat_ox_lp,padj_dat_rna_op,padj_dat_ox_op
Phvul.001G005000.1,NA,NA,NA,NA,5.08769811438089e-9,NA,NA
Phvul.001G006300.1,NA,0.0018025109187068801,NA,NA,0.00154979184189726,7.838886706701e-4,3.65793785149276e-8
Phvul.001G009100.1,4.49485863695586e-8,5.03450889520274e-4,NA,NA,NA,NA,NA
Phvul.001G009200.1,NA,NA,NA,NA,0.0279891618650677,NA,NA
Phvul.001G009400.1,NA,NA,5.78160513192611e-24,NA,NA,NA,NA
Phvul.001G010100.1,NA,NA,1.17102620267864e-61,NA,3.18484626101107e-4,NA,NA
Phvul.001G010200.1,NA,NA,0.00341524721710799,NA,NA,NA,NA
Phvul.001G011800.1,NA,NA,2.81764510316556e-10,NA,3.53611518845591e-6,NA,NA
Phvul.001G013300.1,NA,0.00476948218068015,NA,NA,NA,NA,NA
Phvul.001G013800.1,NA,NA,NA,1.96766116935948e-6,NA,NA,NA
Phvul.001G015000.1,NA,NA,NA,NA,1.18323535736102e-5,NA,NA
Phvul.001G017000.1,NA,NA,1.34951006152642e-6,NA,7.40373427146022e-4,NA,NA
Phvul.001G018300.1,NA,NA,9.27237928602598e-8,NA,6.6226973725622e-4,NA,NA
Phvul.001G019500.1,NA,NA,0.00720740598969994,NA,1.18715913089357e-5,NA,NA
Phvul.001G019700.1,NA,NA,NA,NA,NA,0.00245806559456561,3.7056091263337e-4
Phvul.001G021400.1,5.1930110952719e-4,4.3174381244676e-4,0.00913400373643599,0.00476343997046511,NA,0.00551566534101844,NA
Phvul.001G021500.1,0.00389191725475583,NA,0.00741097243135369,NA,NA,NA,NA
Phvul.001G021700.1,NA,0.00278926654067732,NA,0.00256882222534206,NA,NA,NA
Phvul.001G021800.1,NA,0.0137061629267109,NA,NA,NA,NA,NA
Phvul.001G022900.1,NA,NA,NA,NA,0.0124716235916358,NA,NA
Phvul.001G023000.1,NA,NA,4.72650106898366e-36,NA,0.00162940239659895,NA,NA
Phvul.001G024300.1,NA,NA,1.07359986314337e-5,NA,NA,NA,NA
Phvul.001G024400.1,1.43171289791282e-4,0.0474844087700144,NA,NA,NA,NA,5.01691565361507e-6
Phvul.001G025300.1,NA,NA,NA,NA,2.45634216776345e-5,NA,NA
Phvul.001G026200.1,5.20520918013318e-4,6.88884923619033e-9,6.8078657062384e-31,NA,2.30343311518173e-19,NA,3.15875710629876e-14
Phvul.001G027900.1,NA,NA,4.75047332393139e-19,NA,NA,NA,NA
Phvul.001G028700.1,NA,NA,8.49494002065486e-25,NA,NA,NA,NA
Phvul.001G028800.1,NA,NA,NA,NA,6.36196462808616e-16,NA,NA
Phvul.001G029100.1,1.58670115102645e-16,9.47037500123007e-4,NA,NA,NA,NA,6.30514644440542e-12
Phvul.001G030800.1,NA,NA,NA,NA,0.00353060503788828,NA,NA
Phvul.001G031200.1,NA,NA,6.22408717297899e-15,NA,1.91863365901282e-6,NA,NA
Phvul.001G031900.1,NA,0.0230176164609828,NA,NA,1.161604952861e-13,NA,1.38845159630838e-9
Phvul.001G032150.1,NA,NA,NA,NA,9.66370071799298e-4,NA,NA
Phvul.001G032200.1,NA,NA,NA,NA,NA,NA,0.00706789430802493
Phvul.001G036600.1,NA,NA,0.00704924444367669,NA,0.00238720347906268,NA,1.41486074742742e-10
Phvul.001G036700.1,NA,NA,2.49306736063074e-7,NA,NA,NA,3.32983538297712e-13
Phvul.001G036800.1,NA,NA,NA,NA,NA,NA,3.339440112482e-11
Phvul.001G037100.1,7.29562176667632e-4,NA,NA,NA,NA,5.4316333352113e-5,1.22728620195692e-4
Phvul.001G037900.1,2.60904169698619e-27,1.5299063618089e-4,NA,NA,NA,NA,7.42383523622241e-36
Phvul.001G038500.1,NA,0.0199490751043445,NA,NA,NA,NA,NA
Phvul.001G039200.1,0.0196110032092729,NA,NA,NA,NA,NA,0.0087150372384054
Phvul.001G039700.1,2.25200909366944e-22,2.88456969960147e-5,6.57212691154006e-56,NA,1.54034595597784e-5,9.11317964679952e-8,NA
Phvul.001G039800.1,2.14772171960032e-8,3.99808767347055e-6,3.9721149714024e-10,NA,3.1270775691942e-4,6.91752001690532e-10,2.35873182451872e-5
Phvul.001G040000.1,NA,NA,NA,NA,NA,NA,0.00455687586860545
Phvul.001G040300.1,NA,NA,NA,NA,NA,NA,8.85840778607442e-4
Phvul.001G040750.1,NA,NA,NA,NA,6.48890870889527e-8,NA,NA
Phvul.001G041200.1,NA,NA,NA,NA,0.0109309253656646,NA,NA
Phvul.001G042100.1,NA,NA,9.81800617359017e-5,NA,0.0448006146599242,NA,NA
Phvul.001G042200.1,0.00350021974974751,0.00356639375317994,2.15110973073252e-4,NA,NA,NA,2.26424372558528e-5
Phvul.001G043000.1,NA,NA,9.20200352529744e-4,NA,1.39680811417993e-5,NA,NA
Phvul.001G043600.1,0.0122370846864449,NA,NA,NA,NA,NA,NA
Phvul.001G044500.1,NA,NA,1.51048957204371e-5,0.00695677635795956,0.00409333388308008,2.48492442131436e-5,NA
Phvul.001G044700.1,NA,NA,2.086248467333e-4,NA,0.0096824169563172,NA,NA
Phvul.001G045700.1,NA,NA,1.3587943085551e-5,NA,NA,NA,1.63500770977222e-4
Phvul.001G046200.1,NA,NA,1.90229295432858e-11,NA,1.37999181895958e-6,NA,NA
Phvul.001G046300.1,0.0126073300412017,NA,0.0322297542729973,NA,0.0124329859212397,NA,1.52154325534098e-4
Phvul.001G047100.1,NA,NA,4.82506467849724e-7,NA,0.00796882463658073,NA,NA
Phvul.001G047800.1,NA,NA,2.476502494562e-7,NA,0.00016506006990587901,NA,NA
Phvul.001G047900.1,NA,NA,5.22731489497043e-31,NA,4.39717234675008e-7,NA,NA
Phvul.001G048050.1,NA,NA,1.47909714610433e-25,NA,1.51042822122966e-9,NA,NA
Phvul.001G048200.1,NA,NA,0.00133901412906524,NA,0.020023875462846,NA,NA
Phvul.001G048500.1,NA,NA,1.70289381355285e-5,NA,0.0212167707956385,NA,NA
Phvul.001G048600.1,NA,NA,3.06211692096335e-33,NA,6.94073256704401e-14,NA,NA
Phvul.001G048701.1,NA,NA,8.57006208308975e-20,NA,4.42609603090609e-4,NA,NA
Phvul.001G048800.1,NA,NA,1.27645133437688e-20,NA,9.0562843493236e-6,0.00464511682665971,NA
