ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0004497,monooxygenase activity,13/364,254/24738,0.051181102362204724,3.4783464566929134,4.851750884208759,1.0935123127193136e-4,0.005660275151498014,0.004808359316138664,Phvul.002G014700.1/Phvul.002G111900.1/Phvul.002G187700.1/Phvul.002G226700.1/Phvul.002G302100.1/Phvul.003G206400.1/Phvul.004G021400.1/Phvul.004G124700.1/Phvul.004G136300.1/Phvul.006G043100.1/Phvul.006G209500.1/Phvul.008G155000.1/Phvul.009G061450.1,13
GO:0005506,iron ion binding,18/364,443/24738,0.040632054176072234,2.7614169126584476,4.5715805506140725,1.1311390528481967e-4,0.005660275151498014,0.004808359316138664,Phvul.002G014700.1/Phvul.002G111900.1/Phvul.002G187700.1/Phvul.002G226700.1/Phvul.002G302100.1/Phvul.003G011800.1/Phvul.003G206400.1/Phvul.004G021400.1/Phvul.004G124700.1/Phvul.004G136300.1/Phvul.005G058800.1/Phvul.006G209500.1/Phvul.007G043100.1/Phvul.007G074200.2/Phvul.008G155000.1/Phvul.009G053900.2/Phvul.009G061450.1/Phvul.011G131100.1,18
GO:0015079,potassium ion transmembrane transporter activity,5/364,33/24738,0.15151515151515152,10.297202797202798,6.530969385759018,1.1347678448137614e-4,0.005660275151498014,0.004808359316138664,Phvul.002G294304.1/Phvul.008G152200.1/Phvul.009G212700.1/Phvul.009G212800.1/Phvul.009G212900.1,5
GO:0016998,cell wall macromolecule catabolic process,4/364,20/24738,0.2,13.592307692307694,6.884532650377286,1.8538061703882386e-4,0.005660275151498014,0.004808359316138664,Phvul.001G218600.1/Phvul.003G268600.2/Phvul.004G049200.1/Phvul.009G254400.1,4
GO:0051537,"2 iron, 2 sulfur cluster binding",5/364,37/24738,0.13513513513513514,9.183991683991685,6.087928967663551,1.98606145666597e-4,0.005660275151498014,0.004808359316138664,Phvul.008G161000.1/Phvul.008G167850.1/Phvul.009G086000.1/Phvul.011G131100.1/Phvul.L001769.1,5
GO:0071805,potassium ion transmembrane transport,5/364,37/24738,0.13513513513513514,9.183991683991685,6.087928967663551,1.98606145666597e-4,0.005660275151498014,0.004808359316138664,Phvul.002G294304.1/Phvul.008G152200.1/Phvul.009G212700.1/Phvul.009G212800.1/Phvul.009G212900.1,5
GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",15/364,368/24738,0.04076086956521739,2.7701714046822743,4.1809239565249126,4.0140831778660206e-4,0.009805831763072707,0.008329977120985125,Phvul.003G052400.1/Phvul.003G126100.1/Phvul.003G147700.1/Phvul.003G183000.1/Phvul.003G217900.1/Phvul.005G082800.2/Phvul.005G151700.1/Phvul.005G151800.1/Phvul.005G158500.1/Phvul.006G092100.1/Phvul.007G077800.1/Phvul.008G029000.1/Phvul.009G232500.1/Phvul.009G256400.1/Phvul.011G055800.1,15
GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",13/364,333/24738,0.03903903903903904,2.6531531531531534,3.711561007548317,0.0014178690649967762,0.03030695126430609,0.025745517232836197,Phvul.002G014700.1/Phvul.002G111900.1/Phvul.002G187700.1/Phvul.002G226700.1/Phvul.002G302100.1/Phvul.003G206400.1/Phvul.004G021400.1/Phvul.004G124700.1/Phvul.004G136300.1/Phvul.006G209500.1/Phvul.007G043100.1/Phvul.008G155000.1/Phvul.009G061450.1,13
GO:0020037,heme binding,16/364,472/24738,0.03389830508474576,2.3037809647979137,3.4949208261513323,0.0018338273533462302,0.03484271971357837,0.02959861693120231,Phvul.001G143300.1/Phvul.002G014700.1/Phvul.002G111900.1/Phvul.002G187700.1/Phvul.002G226700.1/Phvul.002G302100.1/Phvul.003G206400.1/Phvul.004G018900.1/Phvul.004G021400.1/Phvul.004G124700.1/Phvul.004G136300.1/Phvul.006G209500.1/Phvul.007G107400.1/Phvul.008G155000.1/Phvul.009G061450.1/Phvul.011G030200.1,16
GO:0016758,hexosyltransferase activity,10/364,233/24738,0.04291845493562232,2.916804225817102,3.5924370619740573,0.0024947481332370396,0.036622342210892306,0.031110392275180906,Phvul.004G103900.1/Phvul.006G205500.1/Phvul.006G208500.1/Phvul.007G251200.1/Phvul.008G140700.1/Phvul.008G140800.1/Phvul.008G158106.1/Phvul.008G175300.1/Phvul.010G001300.1/Phvul.010G009000.2,10
GO:0004568,chitinase activity,3/364,19/24738,0.15789473684210525,10.73076923076923,5.185245555146793,0.002569988927080162,0.036622342210892306,0.031110392275180906,Phvul.001G218600.1/Phvul.003G268600.2/Phvul.009G254400.1,3
GO:0006032,chitin catabolic process,3/364,19/24738,0.15789473684210525,10.73076923076923,5.185245555146793,0.002569988927080162,0.036622342210892306,0.031110392275180906,Phvul.001G218600.1/Phvul.003G268600.2/Phvul.009G254400.1,3
GO:0030247,polysaccharide binding,6/364,95/24738,0.06315789473684211,4.292307692307692,3.928947573637863,0.0028214043887733378,0.037112319267710824,0.031526623939329604,Phvul.001G075800.2/Phvul.001G236600.1/Phvul.003G183000.1/Phvul.004G154700.1/Phvul.006G112600.1/Phvul.008G029000.1,6
