Gene Name,Transcript Name,GO ID,InterPro ID,Description
Phvul.001G067400,Phvul.001G067400.1,GO:0005509,IPR002048,(1 of 2) PTHR10891//PTHR10891:SF530 - EF-HAND CALCIUM-BINDING DOMAIN CONTAINING PROTEIN // SUBFAMILY NOT NAMED
Phvul.001G067400,Phvul.001G067400.1,GO:0005509,IPR011992,(1 of 2) PTHR10891//PTHR10891:SF530 - EF-HAND CALCIUM-BINDING DOMAIN CONTAINING PROTEIN // SUBFAMILY NOT NAMED
Phvul.001G077400,Phvul.001G077400.1,,IPR006747,"(1 of 10) PF04654 - Protein of unknown function, DUF599 (DUF599)"
Phvul.001G114000,Phvul.001G114000.1,,,
Phvul.001G183300,Phvul.001G183300.1,GO:0016491,IPR005123,(1 of 2) PTHR10209:SF152 - 1-AMINOCYCLOPROPANE-1-CARBOXYLATE OXIDASE-RELATED
Phvul.001G183300,Phvul.001G183300.1,GO:0016491,IPR026992,(1 of 2) PTHR10209:SF152 - 1-AMINOCYCLOPROPANE-1-CARBOXYLATE OXIDASE-RELATED
Phvul.001G183300,Phvul.001G183300.1,GO:0016491,IPR027443,(1 of 2) PTHR10209:SF152 - 1-AMINOCYCLOPROPANE-1-CARBOXYLATE OXIDASE-RELATED
Phvul.001G183300,Phvul.001G183300.1,GO:0055114,IPR005123,(1 of 2) PTHR10209:SF152 - 1-AMINOCYCLOPROPANE-1-CARBOXYLATE OXIDASE-RELATED
Phvul.001G183300,Phvul.001G183300.1,GO:0055114,IPR026992,(1 of 2) PTHR10209:SF152 - 1-AMINOCYCLOPROPANE-1-CARBOXYLATE OXIDASE-RELATED
Phvul.001G183300,Phvul.001G183300.1,GO:0055114,IPR027443,(1 of 2) PTHR10209:SF152 - 1-AMINOCYCLOPROPANE-1-CARBOXYLATE OXIDASE-RELATED
Phvul.002G023200,Phvul.002G023200.2,,,
Phvul.002G068500,Phvul.002G068500.2,GO:0003676,IPR002562,(1 of 2) PTHR13620:SF7 - EMB
Phvul.002G068500,Phvul.002G068500.2,GO:0003676,IPR012337,(1 of 2) PTHR13620:SF7 - EMB
Phvul.002G068500,Phvul.002G068500.2,GO:0006139,IPR002562,(1 of 2) PTHR13620:SF7 - EMB
Phvul.002G068500,Phvul.002G068500.2,GO:0006139,IPR012337,(1 of 2) PTHR13620:SF7 - EMB
Phvul.002G068500,Phvul.002G068500.2,GO:0008408,IPR002562,(1 of 2) PTHR13620:SF7 - EMB
Phvul.002G068500,Phvul.002G068500.2,GO:0008408,IPR012337,(1 of 2) PTHR13620:SF7 - EMB
Phvul.002G256900,Phvul.002G256900.1,GO:0003676,IPR007087,(1 of 6) PTHR10593//PTHR10593:SF41 - SERINE/THREONINE-PROTEIN KINASE RIO // SUBFAMILY NOT NAMED
Phvul.002G256900,Phvul.002G256900.1,GO:0003676,IPR015880,(1 of 6) PTHR10593//PTHR10593:SF41 - SERINE/THREONINE-PROTEIN KINASE RIO // SUBFAMILY NOT NAMED
Phvul.002G256900,Phvul.002G256900.1,GO:0003676,IPR013087,(1 of 6) PTHR10593//PTHR10593:SF41 - SERINE/THREONINE-PROTEIN KINASE RIO // SUBFAMILY NOT NAMED
Phvul.002G256900,Phvul.002G256900.1,GO:0046872,IPR007087,(1 of 6) PTHR10593//PTHR10593:SF41 - SERINE/THREONINE-PROTEIN KINASE RIO // SUBFAMILY NOT NAMED
Phvul.002G256900,Phvul.002G256900.1,GO:0046872,IPR015880,(1 of 6) PTHR10593//PTHR10593:SF41 - SERINE/THREONINE-PROTEIN KINASE RIO // SUBFAMILY NOT NAMED
Phvul.002G256900,Phvul.002G256900.1,GO:0046872,IPR013087,(1 of 6) PTHR10593//PTHR10593:SF41 - SERINE/THREONINE-PROTEIN KINASE RIO // SUBFAMILY NOT NAMED
Phvul.003G082300,Phvul.003G082300.1,GO:0016491,IPR005123,"(1 of 2) PTHR10209//PTHR10209:SF173 - OXIDOREDUCTASE, 2OG-FE II  OXYGENASE FAMILY PROTEIN // SUBFAMILY NOT NAMED"
Phvul.003G082300,Phvul.003G082300.1,GO:0016491,IPR026992,"(1 of 2) PTHR10209//PTHR10209:SF173 - OXIDOREDUCTASE, 2OG-FE II  OXYGENASE FAMILY PROTEIN // SUBFAMILY NOT NAMED"
Phvul.003G082300,Phvul.003G082300.1,GO:0016491,IPR027443,"(1 of 2) PTHR10209//PTHR10209:SF173 - OXIDOREDUCTASE, 2OG-FE II  OXYGENASE FAMILY PROTEIN // SUBFAMILY NOT NAMED"
Phvul.003G082300,Phvul.003G082300.1,GO:0055114,IPR005123,"(1 of 2) PTHR10209//PTHR10209:SF173 - OXIDOREDUCTASE, 2OG-FE II  OXYGENASE FAMILY PROTEIN // SUBFAMILY NOT NAMED"
